Page ID,Section name,H1,Current URL,Current page path,New page path,Hierarchy level,Page type,Content section,Queries,Level of factual updates,HR owner (information provider and approver),Sitemap queries for HR,Additional migration instructions,Page template,Hide from nav,CMS preview,CMS edit
,Reduced hours,Types of flexible working: Reduced hours,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/types/reduced-hours/,/admin/hr/leave-and-absence/flexible-working/types/reduced-hours/,/hr/employment/leave-absence/flexible-working/types/reduced-hours/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Term-time only,Types of flexible working: Term-time only,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/types/term-time-only/,/admin/hr/leave-and-absence/flexible-working/types/term-time-only/,/hr/employment/leave-absence/flexible-working/types/term-time-only/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Shifts and rotas,Types of flexible working: Shifts and rotas,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/types/shifts-and-rotas/,/admin/hr/leave-and-absence/flexible-working/types/shifts-and-rotas/,/hr/employment/leave-absence/flexible-working/types/shifts-and-rotas/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Unpaid leave,Types of flexible working: Unpaid leave,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/types/unpaid-leave/,/admin/hr/leave-and-absence/flexible-working/types/unpaid-leave/,/hr/employment/leave-absence/flexible-working/types/unpaid-leave/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Flexible retirement,Types of flexible working: Flexible retirement,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/types/flexible-retirement/,/admin/hr/leave-and-absence/flexible-working/types/flexible-retirement/,/hr/employment/leave-absence/flexible-working/types/flexible-retirement/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Other types of leave,,https://www.york.ac.uk/admin/hr/browse/leave-and-absence/other-leave,/browse/leave-and-absence/other-leave,/hr/employment/leave-absence/other-leave/,4,Index page,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,Browse listing page,FALSE,Preview,Edit
,Special leave,,https://www.york.ac.uk/admin/hr/leave-and-absence/other-leave/special-leave/,/admin/hr/leave-and-absence/other-leave/special-leave/,/hr/employment/leave-absence/other-leave/special-leave/,5,Information page,"04 My employment (attendance, leave and absence)",None,,Laura McIlroy,,,answer-template-2017,FALSE,Preview,Edit
,Parental leave,,https://www.york.ac.uk/admin/hr/browse/leave-and-absence/parental-leave,/browse/leave-and-absence/parental-leave,/hr/employment/leave-absence/parental-leave/,4,Index page,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,Browse listing page,FALSE,Preview,Edit
,Adoption leave,,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/adoption/entitlement/,/admin/hr/leave-and-absence/parental-leave/adoption/entitlement/,/hr/employment/leave-absence/parental-leave/adoption/,5,Multistep parent,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
,Applying,Applying for adoption leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/adoption/applying/,/admin/hr/leave-and-absence/parental-leave/adoption/applying/,/hr/employment/leave-absence/parental-leave/adoption/applying/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Starting leave,Starting your adoption leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/adoption/commencement/,/admin/hr/leave-and-absence/parental-leave/adoption/commencement/,/hr/employment/leave-absence/parental-leave/adoption/commencement/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,During leave,During your adoption leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/adoption/during-your-leave/,/admin/hr/leave-and-absence/parental-leave/adoption/during-your-leave/,/hr/employment/leave-absence/parental-leave/adoption/during-your-leave/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Returning to work discussion,Returning to work after adoption leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/adoption/returning-to-work/,/admin/hr/leave-and-absence/parental-leave/adoption/returning-to-work/,/hr/employment/leave-absence/parental-leave/adoption/returning-to-work/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Additional information,Additional information about adoption leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/adoption/additional-information/,/admin/hr/leave-and-absence/parental-leave/adoption/additional-information/,/hr/employment/leave-absence/parental-leave/adoption/additional-information/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Maternity leave,,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/maternity/entitlement/,/admin/hr/leave-and-absence/parental-leave/maternity/entitlement/,/hr/employment/leave-absence/parental-leave/maternity/,5,Multistep parent,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,"Prev/next buttons beneficial
Many next clicks (61)",multiPage-template-2017,FALSE,Preview,Edit
,Applying,Applying for maternity leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/maternity/applying/,/admin/hr/leave-and-absence/parental-leave/maternity/applying/,/hr/employment/leave-absence/parental-leave/maternity/applying/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Maternity application received,Maternity application received,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/maternity/applying/complete/,/admin/hr/leave-and-absence/parental-leave/maternity/applying/complete/,/hr/employment/leave-absence/parental-leave/maternity/applying/complete/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Starting leave,Starting your maternity leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/maternity/commencement/,/admin/hr/leave-and-absence/parental-leave/maternity/commencement/,/hr/employment/leave-absence/parental-leave/maternity/commencement/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,During leave,During your maternity leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/maternity/during-maternity-leave/,/admin/hr/leave-and-absence/parental-leave/maternity/during-maternity-leave/,/hr/employment/leave-absence/parental-leave/maternity/during-maternity-leave/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Additional information,Additional information about maternity leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/maternity/additional-information/,/admin/hr/leave-and-absence/parental-leave/maternity/additional-information/,/hr/employment/leave-absence/parental-leave/maternity/additional-information/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Returning to work,Returning to work after maternity leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/maternity/returning-to-work/,/admin/hr/leave-and-absence/parental-leave/maternity/returning-to-work/,/hr/employment/leave-absence/parental-leave/maternity/returning-to-work/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Paternity leave,,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/paternity/entitlement/,/admin/hr/leave-and-absence/parental-leave/paternity/entitlement/,/hr/employment/leave-absence/parental-leave/paternity/,5,Multistep parent,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,Not really step-by-step,multiPage-template-2017,FALSE,Preview,Edit
,Applying,Applying for paternity leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/paternity/applying/,/admin/hr/leave-and-absence/parental-leave/paternity/applying/,/hr/employment/leave-absence/parental-leave/paternity/applying/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Shared parental leave,,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/shared-parental/,/admin/hr/leave-and-absence/parental-leave/shared-parental/,/hr/employment/leave-absence/parental-leave/shared-parental/,5,Multistep parent,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,Merging into the multistep journey so all related content is together: https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/shared-parental/entitlement/,Prev/next buttons beneficial,answer-template-2017,FALSE,Preview,Edit
,Entitlement,Entitlement for shared parental leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/shared-parental/entitlement/,/admin/hr/leave-and-absence/parental-leave/shared-parental/entitlement/,/hr/employment/leave-absence/parental-leave/shared-parental/entitlement/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Applying,Applying for shared parental leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/shared-parental/applying/,/admin/hr/leave-and-absence/parental-leave/shared-parental/applying/,/hr/employment/leave-absence/parental-leave/shared-parental/applying/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,During leave,During shared parental leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/shared-parental/during-shared-parental-leave/,/admin/hr/leave-and-absence/parental-leave/shared-parental/during-shared-parental-leave/,/hr/employment/leave-absence/parental-leave/shared-parental/during-shared-parental-leave/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Additional information,Additional information about shared parental leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/shared-parental/additional-information/,/admin/hr/leave-and-absence/parental-leave/shared-parental/additional-information/,/hr/employment/leave-absence/parental-leave/shared-parental/additional-information/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Sickness absence,,https://www.york.ac.uk/admin/hr/browse/leave-and-absence/sickness-absence,/browse/leave-and-absence/sickness-absence,/hr/employment/leave-absence/sickness-absence/,4,Index page,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,Move main links into a 'searchable list/table' content type,Browse listing page,FALSE,Preview,Edit
1,Additional resources for sickness absence,,https://www.york.ac.uk/admin/hr/leave-and-absence/sickness-absence/additional-resources/fit-notes/,/admin/hr/leave-and-absence/sickness-absence/additional-resources/fit-notes/,/hr/employment/leave-absence/sickness-absence/additional-resources/,5,Multistep parent,"04 My employment (attendance, leave and absence)",None,Not Found,Laura McIlroy,"It sas a standalone page as it was designed to be easy to digest content alongside the formal policy. In the new structure, this has been merged with the multistep journey, so all related content is together: https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/shared-parental/entitlement/?

For phase 2 - it would be good to look at these user journeys - how quick guides and dense policies sit together.",Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
2,Managing unauthorised absence,,https://www.york.ac.uk/admin/hr/leave-and-absence/sickness-absence/additional-resources/unauthorised-absences/,/admin/hr/leave-and-absence/sickness-absence/additional-resources/unauthorised-absences/,/hr/employment/leave-absence/sickness-absence/additional-resources/unauthorised-absences/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Not Found,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
3,Doubt over genuine nature of the absence,,https://www.york.ac.uk/admin/hr/leave-and-absence/sickness-absence/additional-resources/doubt-over-nature-of-sickness/,/admin/hr/leave-and-absence/sickness-absence/additional-resources/doubt-over-nature-of-sickness/,/hr/employment/leave-absence/sickness-absence/additional-resources/doubt-over-nature-of-sickness/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Not Found,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
4,Absence during annual leave,,https://www.york.ac.uk/admin/hr/leave-and-absence/sickness-absence/additional-resources/sickness-during-leave/,/admin/hr/leave-and-absence/sickness-absence/additional-resources/sickness-during-leave/,/hr/employment/leave-absence/sickness-absence/additional-resources/sickness-during-leave/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Not Found,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
